Issue link,Commit link,change mode,Title,param_name
HDFS-14537,https://github.com/apache/hadoop/commit/6f2c871b05b97ea0e18f3c431af8b0d606f88561,Add NewCode,RBF: Support for Kerberos authentication.,dfs.federation.router.keytab.file dfs.federation.router.kerberos.principal dfs.federation.router.kerberos.principal.hostname dfs.federation.router.kerberos.internal.spnego.principal
HDFS-12594,https://github.com/apache/hadoop/commit/b1c7654ee40b372ed777525a42981c7cf55b5c72,Add NewCode,snapshotDiff fails if the report exceeds the RPC response limit,dfs.namenode.snapshotdiff.listing.limit
HDFS-13173,https://github.com/apache/hadoop/commit/ba82e5c488ca0081534c1e40810b3f9e7da9eaad,Add NewCode,Replace ArrayList with DirectoryDiffList,dfs.namenode.snapshot.skiplist.interval dfs.namenode.snapshot.skiplist.max.levels
HDFS-13283,https://github.com/apache/hadoop/commit/fc074a359c44e84dd9612be2bd772763f943eb04,Add NewCode,Percentage based Reserved Space Calculation for DataNode,dfs.datanode.du.reserved.calculator dfs.datanode.du.reserved.pct
HDFS-14593,https://github.com/apache/hadoop/commit/64d4abf489a0267a265591026f8e6c84bc78591,Add NewCode, RBF: Implement deletion feature for expired records in State Store. ,"FEDERATION.STORE.MEMBERSHIP.EXPIRATION.DELETION.MS, FEDERATION.STORE.ROUTER.EXPIRATION.DELETION.MS"
HDFS-14617,https://github.com/apache/hadoop/commit/b67812ea2111fa11bdd76096b923c93e1bdf292,Add NewCode,Improve fsimage load time by writing sub-sections to the fsimage index (#1028).,"dfs.image.parallel.load, dfs.image.parallel.target.sections, dfs.image.parallel.inode.threshold, dfs.image.parallel.threads"
HDFS-13843,https://github.com/apache/hadoop/commit/c3abfcefdd256650b2a45ae2aac53c4a22721a4,Add NewCode, RBF: Add optional **PARAMETER** -d for detailed listing of mount points. ,-d (command line option)
HDFS-14856,https://github.com/apache/hadoop/commit/fabd41fa480303f86bfe7b6ae0277bc0b6015f8,Add NewCode,Fetch file ACLs while mounting external store. (#1478),dfs.provided.acls.import.enabled
HDFS-14648,https://github.com/apache/hadoop/commit/b3119b9ab60a19d624db476c4e1c53410870c7a,Add NewCode, Implement DeadNodeDetector basic model. ,dfs.client.deadnode.detection.enabled
HDFS-15028,https://github.com/apache/hadoop/commit/11cd5b6e39adbf159891852f3482aebdde5459f,Add NewCode, Keep the capacity of volume and reduce a system call.,dfs.datanode.fixed.volume.size
HDFS-14983,https://github.com/apache/hadoop/commit/93bb368094e48e752c0732d979fbcd24e432bfc,Add NewCode, RBF: Add dfsrouteradmin -refreshSuperUserGroupsConfiguration command option. ,-refreshSuperUserGroupsConfiguration
HDFS-14824,https://github.com/apache/hadoop/commit/477505ccfc480f2605a7b65de95ea6f6ff5ce09,Add NewCode,[Dynamometer] Dynamometer in org.apache.hadoop.tools does not output the benchmark results. (#1685),"auditreplay.output-path, auditreplay.input-path"
HDFS-13783,https://github.com/apache/hadoop/commit/1f26cc8705b5af12eefedda019e7ab5c261d9bf,Add NewCode, Add an **OPTION** to the Balancer to make it run as a long-running service. ,"-asService (command line option), dfs.balancer.service.interval, dfs.balancer.service.retries.on.exception"
HDFS-14882,https://github.com/apache/hadoop/commit/c892a879ddce3abfd51c8609c81148bf6e4f9da,Add NewCode, Consider DataNode load when #getBlockLocation.,"dfs.namenode.read.considerLoad, dfs.namenode.redundancy.considerLoad"
HDFS-14370,https://github.com/apache/hadoop/commit/827dbb11e24be294b40088a8aa46086ba8ca4ba,Add NewCode, Add exponential backoff to the edit log tailer to avoid spinning on empty edit tail requests. ,"dfs.ha.tail-edits.period.backoff-max (new), dfs.ha.tail-edits.period (mdf)"
HBASE-18226,https://github.com/apache/hbase/commit/83be50c2ab01b428df3b0496215fda8d66ae1bd6,add code change,Disable reverse DNS lookup at HMaster and use the hostname provided by RegionServer,hbase.regionserver.hostname.disable.master.reversedns
HBASE-18870,https://github.com/apache/hbase/commit/6712f8f632e6ece032ee45f679db9a42a69f805f,add code change,Hbase Backup should set the details to MR job name,mapreduce.job.name
HBASE-19542,https://github.com/apache/hbase/commit/c811d7f9655a1d424c8d4aeeaf4ef6fdb9d782b6,add code change,fix TestSafemodeBringsDownMaster,hbase.wal.async.wait.on.shutdown.seconds
HBASE-19486,https://github.com/apache/hbase/commit/5a1c36f70ac52e6f4e85f11ea0602d46b4861ac0,add code change,Periodically ensure records are not buffered too long by BufferedMutator,hbase.client.write.buffer.periodicflush.timeout.ms hbase.client.write.buffer.periodicflush.timertick.ms
HBASE-19078,https://github.com/apache/hbase/commit/b4a1dbf7685b9625419297589c4e849207eaf115,add code change,Add a remote peer cluster wal directory **CONFIG** for synchronous replication,remoteWALDir
HBASE-19441,https://github.com/apache/hbase/commit/91075276e7638f64e3e213358edd37198f540e1b,add code change,Implement retry logic around starting exclusive backup operation,hbase.backup.exclusive.op.timeout.seconds
HBASE-21247,https://github.com/apache/hbase/commit/0789f544547505fd457a3a75cf66241dfe1243c0,add code change,Allow WAL Provider to be specified by **CONFIGUR**ation without explicit enum in Providers,hbase.wal.regiongrouping.delegate.provider.class hbase.wal.provider.class hbase.wal.meta_provider.class
HBASE-21626,https://github.com/apache/hbase/commit/e69ab24552babaec934b82b71e1b40a857d7c3e9,add code change,log the regions blocking WAL from being archived,hbase.regionserver.wal.too.old.sec
HBASE-21715,https://github.com/apache/hbase/commit/d4085d11bc2ff1c0b329f603052e94d35a7e2ad0,add code change,Do not throw UnsupportedOperationException in ProcedureFuture.get,hbase.client.procedure.future.get.timeout.msec
HBASE-21806,https://github.com/apache/hbase/commit/c90e9ff5efe26427cb489e455a29f05e7efd0e1b,add code change,add an option to roll WAL on very slow syncs,hbase.regionserver.hlog.roll.on.sync.ms
HBASE-18023,https://github.com/apache/hbase/commit/0e8e176ebd3bd17d969d17ce2b0aa3dafb93fa22,add code change,Log multi-* requests for more than threshold number of rows,hbase.rpc.rows.warning.threshold
HBASE-18090,https://github.com/apache/hbase/commit/4aadc5d322884310ce6ef49fb0031bfbd2a096b9,add code change,Improve TableSnapshotInputFormat to allow more multiple mappers per region,hbase.mapreduce.split.algorithm hbase.mapreduce.splits.per.region
HBASE-18108,https://github.com/apache/hbase/commit/023d4f1ae8081da3cb9ff54e6b2e545799704ce7,add code change,Procedure WALs are archived but not cleaned; fixThe archived Procedure WALs are moved to <hbase_root>/oldWALs/masterProcedureWALsdirectory. ,hbase.master.logcleaner.ttl
HBASE-19344,https://github.com/apache/hbase/commit/49a9fe48830cb0ef0ae9eef2de305420c08d09ab,add code change,improve asyncWAL by using Independent thread for netty #IO in FanOutOneBlockAsyncDFSOutput,hbase.wal.async.use-shared-event-loop
HBASE-19358,https://github.com/apache/hbase/commit/f6f57d38f750c34e2353f605f815c019c8ba3f88,add code change,Improve the stability of splitting log when do fail over,hbase.split.writer.creation.bounded
HBASE-19163,https://github.com/apache/hbase/commit/428e5672e77d6dea9cfdafb5a3052415b9926d12,add code change,Maximum lock count exceeded from region server's batch processing,hbase.regionserver.minibatch.size
HBASE-16060,https://github.com/apache/hbase/commit/67b69fb2c70d3a56ac45f59d57b7f2778094a566,add code change,1.x clients cannot access table state talking to 2.0 cluster,hbase.mirror.table.state.to.zookeeper
HBASE-20370,https://github.com/apache/hbase/commit/d91784e6665c61aef96f4307a847aa197bd25587,add code change,Also remove the wal file in remote cluster when we finish replicating a file,replication.source.sync.sleepforretries replication.source.sync.maxretriesmultiplier
HBASE-20579,https://github.com/apache/hbase/commit/c9f8c3436f6e38b5c7807677c5c3e7fc3e19e071,add code change,Improve snapshot manifest copy in ExportSnapshot,snapshot.export.copy.references.threads
HBASE-20193,https://github.com/apache/hbase/commit/66ad9fdef8e8bff3ed2b77cd8865f724b345bd18,add code change,Basic Replication Web UI,replication.source.getEntries.timeout
HBASE-21098,https://github.com/apache/hbase/commit/5c1b325b510976fe2955593d95690ba507c32e03,add code change,Improve Snapshot Performance with Temporary Snapshot Directory when rootDir on S3,hbase.snapshot.working.dir
HBASE-21227,https://github.com/apache/hbase/commit/d7e08317d2f214e4cca7b67578aba0ed7a567d54,add code change,Implement exponential retrying backoff for Assign/UnassignRegionHandler introduced in HBASE-21217,jitter
HBASE-21325,https://github.com/apache/hbase/commit/c0b994b0c6dcf7b8f6bf9b44491c0a312953c014,add code change,Force to terminate regionserver when abort hang in somewhere,hbase.regionserver.abort.timeout
HBASE-21034,https://github.com/apache/hbase/commit/5ded2944199f27440a46df6f200ff2a31c1b8728,add code change,Add new throttle type: read/write capacity,hbase.quota.read.capacity.unit hbase.quota.write.capacity.unit
HBASE-21754,https://github.com/apache/hbase/commit/b5619a2a26a41c423d6c7af1f1feaa990b63c58c,add code change,ReportRegionStateTransitionRequest should be executed in priority executor,hbase.master.meta.transition.handler.count
HBASE-22005,https://github.com/apache/hbase/commit/35b818606ffb4e67cf9acf3b55af4ea9e3ce8c32,add code change,Use ByteBuff's refcnt to track the life cycle of data block,byteBuffAllocator
HBASE-21871,https://github.com/apache/hbase/commit/177d43d8db8ee90273db1d7c317725f0792a4cd0,add code change,Added support to specify a peer table name in VerifyReplication tool,verifyrep.peerTableName
HBASE-22001,https://github.com/apache/hbase/commit/10ca598004ae7db38945145b232a1c809e4ef6b1,add code change,Polish the Admin interface,hbase.client.sync.wait.timeout.msec
HBASE-21810,https://github.com/apache/hbase/commit/a54f0bfb8f9a0b7d6ec4e4585cd30b9e674bfde8,add code change,bulkload support set hfile compression on client,hbase.mapreduce.hfileoutputformat.compression
HBASE-22057,https://github.com/apache/hbase/commit/59406c44e3ac1c046d0c467d452fca80c848d93a,add code change,Impose upper-bound on size of ZK ops sent in a single multi(),zookeeper.multi.max.size
HBASE-22193,https://github.com/apache/hbase/commit/942f8c45cd1a1e0a8956fc10b811dd2add510645,add code change,Add backoff when region failed open too many times,hbase.assignment.retry.immediately.maximum.attempts
HBASE-22292,https://github.com/apache/hbase/commit/6855143ba90ada2e731ff82dfcc5d250e1f8329a,add code change,PreemptiveFastFailInterceptor clean repeatedFailuresMap issue,hbase.client.failure.map.cleanup.interval
HBASE-22810,https://github.com/apache/hbase/commit/8ffc45ab8b9b658d12ae09aec558654339a6bd8,add code change,Initialize an separate ThreadPoolExecutor for taking/rest……oring snapshot (#486),hbase.master.executor.snapshot.threads
HBASE-18137,https://github.com/apache/hbase/commit/384e308e9f2387422e76ceb1432d6b2b85a973cf,add code change,Replication gets stuck for empty WALs,replication.source.eof.autorecovery
HBASE-18161,https://github.com/apache/hbase/commit/293cb87d52d6ccc98f0d03387f9dc07dc4522042,add new code,Incremental Load support for Multiple-Table HFileOutputFormat,hbase.mapreduce.use.multi.table.hfileoutputformat
HBASE-18843,https://github.com/apache/hbase/commit/a6c9d371df6243458ef2db17bcfea9af890076b8,add new code,Add DistCp support to incremental backup with bulk loading,num.levels.preserve
HBASE-16417,https://github.com/apache/hbase/commit/17e7aff37e6b69cae0fb6d15ebeb2037d1ca6acc,add new code,In-memory MemStore Policy for Flattening and Compactions,hbase.hregion.compacting.memstore.adaptive.compaction.threshold hbase.hregion.compacting.memstore.adaptive.compaction.probability
HBASE-19144,https://github.com/apache/hbase/commit/125f3eace9b35e7947721bba5175ca5dc48921e8#,add new code,[RSgroups] Retry assignments in FAILED_OPEN state when servers (re)join the cluster,hbase.rsgroup.reassign.wait
HBASE-19285,https://github.com/apache/hbase/commit/835d15bf9779698bd0b269c2008a496be79090d2,add new code,"Implements table-level latency histogramsFor a egionserver's view of a table (the regionsthat belong to a table hosted on a regionserver),this change tracks the latencies of operations thataffect the regions for this table.Tracking at the per-table level avoids the memory bloatand performance impact that accompanied the previousper-region latency metrics while still providing importantdetails for operators to consume",hbase.regionserver.enable.table.latencies
HBASE-19492,https://github.com/apache/hbase/commit/03e79b79949a63f7320b4c51fecca40f93659bd9,add new code,Add EXCLUDE_NAMESPACE and EXCLUDE_TABLECFS support to replication peer **CONFIG**,exclude_table_cfs exclude_namespaces
HBASE-19216,https://github.com/apache/hbase/commit/f17198ff199830cba4d888b68720f393c376d3ee,add new code,Implement a general framework to execute remote procedure on RS,hbase.regionserver.executor.refresh.peer.threads
HBASE-19494,https://github.com/apache/hbase/commit/32f6fd41c274a955338b7c43ab80309b9adbba0d,add new code,Create simple WALKey filter that can be plugged in on the Replication SinkImplement new WALEntrySinkFilter (as opposed to WALEntryFilter) andspecify the implmentation (with a no-param constructor) in **CONFIG**using property hbase.replication.sink.walentrysinkfilter,hbase.replication.sink.walentrysinkfilter
HBASE-19957,https://github.com/apache/hbase/commit/39dd81a7c69763475e5a72f6c84e0f450fd957e5,add new code,General framework to transit sync replication state,hbase.replication.sync.enabled
HBASE-19506,https://github.com/apache/hbase/commit/92d04d57516391376d34aaca6307e5906ffa4ae8,add new code,"The CellChunkMap index chunks are usually small, so in order to prevent memory underutilization, HBASE-19506 presents small chunks preallocated in a small pool",hbase.hregion.memstore.mslab.indexchunksize
HBASE-17825,https://github.com/apache/hbase/commit/6cfa208add6ea424e17cae00114ebd3e7d7967f1,add new code,Backup further optimizations,wal.multi.tables.support
HBASE-18133,https://github.com/apache/hbase/commit/bdedcc5631fa9c8c400d4daa01b8a1947d4a12dd,add new code,Decrease quota reaction latency by HBase,hbase.regionserver.quotas.region.size.reporting.chore.period hbase.regionserver.quotas.region.size.reporting.chore.delay hbase.regionserver.quotas.region.size.reporting.chore.timeunit
HBASE-19973,https://github.com/apache/hbase/commit/183b8d0581f82e56e928ca7153ab50558e57045d,add new code,Implement a procedure to replay sync replication wal for standby cluster,hbase.regionserver.executor.replay.sync.replication.wal.threads
HBASE-20050,https://github.com/apache/hbase/commit/99d3edfc82d89d6da23008f3ab0a203317cec6f2,add new code,Reimplement updateReplicationPositions logic in serial replication based on the newly introduced replication storage layer,zookeeper.znode.replication.regions
HBASE-20115,https://github.com/apache/hbase/commit/b7b86839250bf9b295ebc1948826f43a88736d6c,add new code,Reimplement serial replication based on the new replication storage layer,hbase.serial.replication.waiting.ms
